smiles,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold,split,SMILES,pC20_normalised,pCMC_normalised,SMILES_canonical,SurfTen,MolLogP,true_composite
CCCCCCCCCCCCn1cc[n+](CCCC[n+]2ccn(CCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25.0,3.13697470377053,,,,,,0.0,train,CCCCCCCCCCCCn1cc[n+](CCCC[n+]2ccn(CCCCCCCCCCCC)c2)c1,,-0.0181235307074337,CCCCCCCCCCCCn1cc[n+](CCCC[n+]2ccn(CCCCCCCCCCCC)c2)c1,387.82095,9.186800000000003,0.6658041528556904
CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],gemini cationic,25.0,3.90657831483777,41.8,1.07e-06,1.55,30.2,4.32401774224052,,test,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC,0.2233570989261924,0.6691059723633906,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC,427.73608,10.349499999999995,0.6653433632180525
CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.50863830616573,39.7,1.32e-06,1.26,32.3,4.05269854621798,4.0,train,CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCC,-0.0005087613600965,0.3137592581861463,CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCC,410.96945,9.7778,0.6647606849639834
CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.0,,,,,,1.0,train,CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1,,-0.1404372208354679,CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1,291.29233,6.005200000000007,0.6611590637110765
CCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,3.52302353424047,,,,,,0.0,train,CCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,,0.3266047711218961,CCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,412.96344,4.601500000000005,0.6607830132056931
CCCCCCCCCCCCC(O)OCCOCCOCCOCCOCC,non-ionic,25.0,4.30980391997149,,,,,,3.0,train,CCCCCCCCCCCCC(O)OCCOCCOCCOCCOCC,,1.0291725420318996,CCCCCCCCCCCCC(O)OCCOCCOCCOCCOCC,441.50055,4.718700000000004,0.6598472658901613
CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.21681130892474,33.8,8.27e-07,1.19,38.2,4.0,7.0,train,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC,-0.043990407914676,0.0531678064146782,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC,395.89493,7.769200000000008,0.6593880094262101
CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)CC1.[Cl-].[Cl-],gemini cationic,25.0,3.39469495385889,36.5,1.789e-06,0.93,35.5,5.218,0.0,train,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)CC1,0.9609831502630778,0.2120117712227412,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)CC1,406.92377,10.441199999999997,0.6587775382901989
CCCCCCCCCCCCOCOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,non-ionic,25.0,3.63808338133136,,,,,,6.0,train,CCCCCCCCCCCCOCOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,,0.4293492494514926,CCCCCCCCCCCCOCOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,419.0059,1.6978999999999995,0.6585724590531705
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.27572413039921,38.1,,,33.87,,5.0,val,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-],,0.9987404643808632,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-],441.1505,7.435100000000011,0.6574881316360602
CCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,4.0,34.8,,,37.2,,6.0,train,CCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,,0.752528317771888,CCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,433.06403,4.991600000000005,0.6573201090686568
CCCCCCCCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,25.0,5.25026368443094,35.7,3.32e-06,0.499,36.27,5.95,7.0,train,CCCCCCCCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,1.5649574069019252,1.86897070214098,CCCCCCCCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,458.20822,-0.0573999999999974,0.6563286549972269
CCCCCCCCCCC(=O)OCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCOC(=O)CCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.616570234298706,34.0,,,,,8.0,train,CCCCCCCCCCC(=O)OCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCOC(=O)CCCCCCCCCC,,,CCCCCCCCCCC(=O)OCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCOC(=O)CCCCCCCCCC,418.94644,8.208500000000008,0.6556211364904739
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,5.69897000433602,,,,,,0.0,train,CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,,2.2696499827715435,CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,458.75302,6.585200000000008,0.6533489874694242
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,,3.7167792320251465,28.1,,,,,0.0,train,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,424.24292,3.871100000000003,0.6520613743789107
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1.[Cl-].[Cl-],gemini cationic,25.0,3.88605664769316,46.2,8.8e-07,1.88,25.8,3.25,4.0,train,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1,-0.6628164905364456,0.6507808308084828,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1,430.6686,11.25419999999999,0.651822656784095
CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],cationic,25.0,4.0,45.0,2.89e-06,5.75,27.0,3.04,9.0,val,CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21,-0.8360877936705411,0.752528317771888,CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21,434.6365,6.689600000000008,0.6512319241831391
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,5.04575749056068,48.0,1.24e-06,1.34,24.0,5.49,0.0,train,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,1.1854107428939065,1.6863537185830826,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,458.58658,14.916999999999971,0.6509230824399932
CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],gemini cationic,25.0,3.54975089168064,36.0,1.02e-06,1.62,33.3,5.7,6.0,train,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC,1.3586820460280018,0.3504713802540088,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC,417.36896,7.501200000000008,0.6508482836232214
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.48095996135166,,4.34e-07,3.83,,,7.0,train,CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-],,0.2890434501014902,CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-],414.57465,6.113200000000006,0.6492390332159158
CCCCCCCCc1ccc(OCCOCCOCCOCC)cc1,non-ionic,25.0,3.88605664769316,,,,,,9.0,val,CCCCCCCCc1ccc(OCCOCCOCCOCC)cc1,,0.6507808308084828,CCCCCCCCc1ccc(OCCOCCOCCOCC)cc1,431.94638,5.0381000000000045,0.6470555073777119
C=CC(O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.135913848876953,31.6,,,,,0.0,train,C=CC(O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC,,,C=CC(O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC,395.05298,8.870600000000005,0.6469005392623633
CCCCCCCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,3.20000000000006,31.2,2.09e-06,0.86,40.77,3.78107589181454,0.0,train,CCCCCCCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1,-0.2246250055945063,0.0381558868860569,CCCCCCCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1,399.58542,9.135000000000003,0.6463937719852493
CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.14813039927023,30.6,3e-06,0.55,41.4,3.64,7.0,train,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC,-0.3410269275731253,-0.0081618790670044,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC,396.20456,7.736000000000009,0.6461108385326367
CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,4.11901500951325,,,,,,9.0,train,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,,0.8588046198442467,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,439.61993,5.567299999999984,0.6457453800048749
CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],gemini cationic,25.0,3.76700388960785,42.5,1.29e-06,1.29,29.5,4.18,4.0,train,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1,0.1045278519145484,0.5444708205621427,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1,428.04456,11.78279999999999,0.6455880745207551
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCC,non-ionic,25.0,5.77989191195995,32.0,,,40.0,,0.0,train,CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCC,,2.3419104575980816,CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCC,460.1645,6.518800000000007,0.6455652284543383
CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,3.95900230757651,,,,,,9.0,val,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,,0.7159187912752875,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,434.80362,5.401299999999992,0.6454674324632776
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.92118081690115,,,,,,0.0,train,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,,-0.2108200351239244,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,286.82727,5.0541000000000045,0.6448543477007915
CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],cationic,25.0,3.50863830616573,37.1,1.85e-06,0.9,34.68,4.21,9.0,train,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1,0.1292808952194194,0.3137592581861463,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1,417.5104,6.251300000000007,0.6441952986234254
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],cationic,,3.4523415565490723,40.5,,,,,9.0,val,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,,,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,414.80814,6.574100000000007,0.6440720124303594
OCCOCCSCCOCCSCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,non-ionic,25.0,4.58502665202918,,,,,,9.0,train,OCCOCCSCCOCCSCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1.274936957200783,OCCOCCSCCOCCSCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,451.56863,6.3570000000000055,0.6433661201925068
CCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,4.56863623584101,44.5,1.9e-06,0.72,27.5,4.81,,test,CCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCC)cc2)cc1,0.6243417613168348,1.2603008803813154,CCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCC)cc2)cc1,451.2889,9.8236,0.6430605831380691
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,non-ionic,,3.5938560962677,27.0,,,,,0.0,train,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,421.8055,3.8213000000000026,0.642831182076413
CCCCCCCCCCCCOCC(C[N+](C)(C)CC(COCCCCCCCCCCCC)OCCOCCOCCO)OCCOCCO.COS(=O)(=O)[O-],zwitterionic,25.0,3.30803489723264,32.2,,,39.58,,5.0,train,CCCCCCCCCCCCOCC(C[N+](C)(C)CC(COCCCCCCCCCCCC)OCCOCCOCCO)OCCOCCO,,0.1346273270817378,CCCCCCCCCCCCOCC(C[N+](C)(C)CC(COCCCCCCCCCCCC)OCCOCCOCCO)OCCOCCO,407.51675,7.742600000000012,0.6427221021531413
CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C.[I-].[I-],gemini cationic,25.0,4.27327279097343,31.5,1.66e-06,1.0,40.5,5.42,5.0,val,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C,1.1276536418492078,0.9965515027502124,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C,444.6381,9.293400000000002,0.6421920445058471
CCCCCCCCCCCCCCOc1ccc[n+](CC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25.0,4.46903231842809,,,,,,3.0,train,CCCCCCCCCCCCCCOc1ccc[n+](CC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1,,1.171358014621284,CCCCCCCCCCCCCCOc1ccc[n+](CC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1,449.35745,11.121599999999992,0.6419813199311837
CCCCCCCCCCCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],gemini cationic,,3.6265709400177,40.8,,,,,1.0,train,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCCCCCCCCCC,,,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCCCCCCCCCC,423.82782,11.318399999999992,0.6407491665997049
CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997426989214,,,,,,9.0,train,CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1,,-0.2297567507958271,CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1,270.9451,6.005200000000007,0.6403966464713329
CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997426989214,,,,,,7.0,train,CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1,,-0.2297567507958271,CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1,267.93967,6.395300000000007,0.6403966464713329
CCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,sugar-based non-ionic,20.0,5.03151705144607,34.8,3.76e-06,0.44,37.2,6.0,9.0,train,CCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.6062124790767096,1.6736374971990993,CCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,460.45493,-0.1559999999999972,0.6394205946932308
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,3.60032627851896,30.4,1.11e-06,1.49,41.6,4.6,7.0,train,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,0.4510704581827393,0.3956334578023646,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,423.15976,7.895200000000009,0.6392393823301352
CCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],gemini cationic,25.0,3.02227639471115,25.8,1.38e-06,1.21,46.2,3.85365582834349,4.0,train,CCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC,-0.1647391951956438,-0.1205451680339956,CCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC,389.65417,11.007899999999994,0.6391433652356634
CCCCCCCCCCCCOC(=O)C(C)[N+](C)(C)CC[N+](C)(C)C(C)C(=O)OCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,,2.9430203437805176,32.0,,,,,5.0,train,CCCCCCCCCCCCOC(=O)C(C)[N+](C)(C)CC[N+](C)(C)C(C)C(=O)OCCCCCCCCCCCC,,,CCCCCCCCCCCCOC(=O)C(C)[N+](C)(C)CC[N+](C)(C)C(C)C(=O)OCCCCCCCCCCCC,383.22223,8.844400000000006,0.6389024397051802
CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.090238332748413,40.0,,,,,4.0,train,CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCC,,,CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCC,395.28842,8.208500000000008,0.6378118898028586
CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.36951208114624,32.0,,,,,3.0,train,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCC,,,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCC,412.69885,8.208500000000008,0.6374522940697196
CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.2355525493621826,36.2,,,,,1.0,val,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCC,,,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCC,405.31555,6.648100000000007,0.6367430503360637
CCCCCCCCCCCCn1cc[n+](CC[n+]2ccn(CCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25.0,3.19402364928244,,,,,,0.0,train,CCCCCCCCCCCCn1cc[n+](CC[n+]2ccn(CCCCCCCCCCCC)c2)c1,,0.0328192116485907,CCCCCCCCCCCCn1cc[n+](CC[n+]2ccn(CCCCCCCCCCCC)c2)c1,402.8296,8.406600000000008,0.636455187662576
CCCCCCCCCCCC[N+](C)(C)C(=O)NCCCCCCCCCCCCNC(=O)[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,25.0,3.65797231191253,,,,,,7.0,train,CCCCCCCCCCCC[N+](C)(C)C(=O)NCCCCCCCCCCCCNC(=O)[N+](C)(C)CCCCCCCCCCCC,,0.4471093790602316,CCCCCCCCCCCC[N+](C)(C)C(=O)NCCCCCCCCCCCCNC(=O)[N+](C)(C)CCCCCCCCCCCC,426.40527,12.301199999999987,0.6363574716578653
CCCCCCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],gemini cationic,25.0,4.69897000433602,,,,,,5.0,train,CCCCCCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,,1.3766844441641877,CCCCCCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,455.35992,13.14999999999998,0.6358523566409978
COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,non-ionic,25.0,4.0970186002025,,,,,,1.0,train,COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.8391625843566455,COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,441.50433,5.185000000000003,0.6354015162644794
CCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,3.01497791789047,,,,,,2.0,train,CCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCC,,-0.1270624563191877,CCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCC,390.85724,4.194800000000003,0.6347320002704343
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,25.0,4.15490195998574,25.0,2.9e-06,0.57,46.0,4.97030595306658,7.0,train,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,0.7566104345930231,0.8908504299018898,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,443.5022,8.904600000000004,0.6337363111393723
CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],gemini cationic,25.0,4.46980030179692,33.5,1.66e-06,1.0,38.5,5.3,5.0,train,CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCC,1.0286414686297245,1.172043797303873,CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCC,451.2285,10.040399999999998,0.6332946008732797
CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,3.55299710153384,32.0,,,40.0,,9.0,train,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCC,,0.3533701337840041,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCC,422.88962,5.036100000000005,0.6332801312870528
